,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
3004,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2348-alto-gaviotas-chorrillos-lima-lima-stella-inmobiliaria,ALTO GAVIOTAS,-12.1788129,-77.0067524,Av las Gaviotas 440 - Chorrillos.,Chorrillos,Entrega inmediata,"20 de Julio, 2024",Banco BCP,"['Boulevard peatonal', 'Lobby', 'Minimarket', 'Piscina', 'Sala de usos Múltiples', 'Techo Panorámico', 'Techos Ecológicos', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",flat,T1 X01,Piso: 4,2,55.00 m2,"S/ 333,000"
2473,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2083-bolognesi-373-miraflores-lima-lima-tale-inmobiliaria,BOLOGNESI 373,-12.1218298,-77.0357842,CALLE BOLOGNESI 373,Miraflores,Entrega inmediata,"31 de Diciembre, 2022",Banco BCP,"['Lobby', 'Terraza', 'Otros']",duplex,903,Piso: 9,3,137.00 m2,"$ 338,000"
5047,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3253-camelia-jesus-maria-lima-lima-abril-grupo-inmobiliario,Camelia,-12.0651697,-77.0428974,Av. 28 de julio 340,Jesus Maria,En planos,"30 de Abril, 2026",Banco BCP,"['Gimnasio', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,CAM-1110AL2510,Pisos: Entre 12 al 25,3,70.04 m2,"S/ 420,120"
1988,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3394-vision-prado-san-borja-lima-lima-inmovision,VISIÓN PRADO,-12.0883805,-77.0028373,Av. Javier Prado Este 2232,San Borja,En planos,"31 de Agosto, 2026",Otros,"['Gimnasio', 'Lobby', 'Sala de usos Múltiples', 'Salon Gourmet', 'Techo Panorámico', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,X03-I,Pisos: Entre 2 al 7,1,50.49 m2,"S/ 377,262"
3184,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2799-gala-bre%C3%B1a-lima-lima-inversiones-tierra-blanca,GALA,-12.0597544,-77.0535185,Pasaje Mariano Melgar N° 200,Breña,En construcción,"31 de Julio, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 3-A,Pisos: 2 y 3,3,65.00 m2,"S/ 342,300"
5359,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2965-santorini-cercado-de-lima-lima-lima-brazil-grupo-inmobiliario,Santorini,-12.073561795487,-77.03112064660345,Av. Alejandro Tirado 731,Cercado de lima,En construcción,"01 de Marzo, 2026",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,S37,Pisos: Entre 8 al 30,2,70.33 m2,"S/ 446,771"
3537,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2476-eco-style-magdalena-del-mar-lima-lima-fundamenta,Eco Style,-12.09463,-77.0559741,Av. Javier Prado Oeste 2361,Magdalena Del Mar,En construcción,"30 de Diciembre, 2025",Banco Interbank,"['Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,3C,Piso: 13,3,86.60 m2,"S/ 867,652"
5671,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2587-bertolotto-etapa-iii-san-miguel-lima-lima-grupo-tyc,Bertolotto - Etapa III,-12.0915197,-77.0828203,Av. Bertolotto 760,San Miguel,En construcción,"31 de Julio, 2024","Banco BCP, BBVA","['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,E3 1 TIPO 3,Piso: 1,4,122.22 m2,"S/ 710,854"
1818,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2213-checor-las-magnolias-cercado-de-lima-lima-lima-checor-inmobiliaria,Checor | Las Magnolias,-12.0790747,-77.0341997,Av. Petit Thouars 1460,Cercado de lima,Entrega inmediata,"31 de Marzo, 2024",Banco Interbank,"['Lobby', 'Sala de usos Múltiples', 'Salon Gourmet', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",duplex,1704,Piso: 17,2,96.01 m2,"S/ 628,390"
5222,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3211-las-praderas-chorrillos-lima-lima-tale-inmobiliaria,Las Praderas,-12.1768317,-76.99919310000001,"Av. Los Faisanes 485, Chorrillos 15054",Chorrillos,En planos,"31 de Diciembre, 2026",Otros,"['Gimnasio', 'Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,X11,Pisos: Entre 5 al 17,3,62.92 m2,"S/ 302,000"
1333,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2918-aliaga-garden-etapa-2-magdalena-del-mar-lima-lima-evergran-grupo-inmobiliario,Aliaga Garden - Etapa 2,-12.0946576,-77.0593471,Av. Juan de Aliaga 456,Magdalena Del Mar,En construcción,"31 de Mayo, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Club House', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,X-06,Pisos: Entre 2 al 22,3,84.52 m2,"S/ 699,900"
4299,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2351-liberty-one-lince-lima-lima-procity,LIBERTY ONE,-12.0896464,-77.0420281,avenida manuel villavicencio 1045,Lince,En construcción,"31 de Marzo, 2025",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,2001,Piso: 20,3,101.13 m2,"$ 248,000"
4616,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3358-central-home-chacarilla-santiago-de-surco-lima-lima-ee-inmobiliaria,Central Home Chacarilla,-12.112760461149128,-76.99036037001652,Cl. Monterrey 319,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",duplex,Duplex 1504,Piso: 15,3,122.58 m2,"$ 193,000"
4441,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3024-castellana-173-santiago-de-surco-lima-lima-ee-inmobiliaria,Castellana 173,-12.1304268,-77.0014315,Av. La Castellana 173,Santiago De Surco,En construcción,"30 de Abril, 2025",Banco BANBIF,"['Lobby', 'Terraza', 'Zona de Parrillas']",flat,Tipo 1,"Pisos: 3, 5, 6, 7",3,78.95 m2,"$ 155,000"
4498,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3223-paseo-jazmines-lince-lima-lima-grupo-sol,PASEO JAZMINES,-12.0895072,-77.02482959999999,Jr. Los Jazmines 516,Lince,En construcción,"01 de Septiembre, 2025",Banco BCP,"['Areas verdes', 'Lobby']",flat,X01,"Pisos: 2, 4, 5, 6, 8",3,70.30 m2,"S/ 539,000"
